1 2 3 4 5 6 7 8 9 10 
20 19 18 17 16 15 14 13 12 11 
21 22 23 24 25 26 27 28 29 30 
40 39 38 37 36 35 34 33 32 31 
41 42 43 44 45 46 47 48 49 50 
60 59 58 57 56 55 54 53 52 51 
61 62 63 64 65 66 67 68 69 70 
80 79 78 77 76 75 74 73 72 71 
81 82 83 84 85 86 87 88 89 90 
100 99 98 97 96 95 94 93 92 91 

100 81 80 61 60 41 40 21 20 1 
99 82 79 62 59 42 39 22 19 2 
98 83 78 63 58 43 38 23 18 3 
97 84 77 64 57 44 37 24 17 4 
96 85 76 65 56 45 36 25 16 5 
95 86 75 66 55 46 35 26 15 6 
94 87 74 67 54 47 34 27 14 7 
93 88 73 68 53 48 33 28 13 8 
92 89 72 69 52 49 32 29 12 9 
91 90 71 70 51 50 31 30 11 10 

1 2 3 4 5 6 7 8 9 10 
36 37 38 39 40 41 42 43 44 11 
35 64 65 66 67 68 69 70 45 12 
34 63 84 85 86 87 88 71 46 13 
33 62 83 96 97 98 89 72 47 14 
32 61 82 95 100 99 90 73 48 15 
31 60 81 94 93 92 91 74 49 16 
30 59 80 79 78 77 76 75 50 17 
29 58 57 56 55 54 53 52 51 18 
28 27 26 25 24 23 22 21 20 19 

1 2 6 7 15 16 28 29 45 46 
3 5 8 14 17 27 30 44 47 64 
4 9 13 18 26 31 43 48 63 65 
10 12 19 25 32 42 49 62 66 79 
11 20 24 33 41 50 61 67 78 80 
21 23 34 40 51 60 68 77 81 90 
22 35 39 52 59 69 76 82 89 91 
36 38 53 58 70 75 83 88 92 97 
37 54 57 71 74 84 87 93 96 98 
55 56 72 73 85 86 94 95 99 100 
